Start,End
2016-09-27T20:19:00,2016-09-28T00:43:00
2016-09-28T19:37:00,2016-09-29T08:38:00
2016-09-29T20:17:00,2016-09-30T04:39:00
2016-09-30T20:54:00,2016-10-01T04:47:00
2016-10-01T20:39:00,2016-10-02T02:42:00
2016-10-02T13:00:00,2016-10-03T05:56:00
2016-10-03T19:59:00,2016-10-04T02:40:00
2016-10-04T21:50:00,2016-10-05T04:11:00
2016-10-05T19:35:00,2016-10-06T10:32:00
2016-10-06T19:21:00,2016-10-07T05:03:00
2016-10-07T20:52:00,2016-10-08T04:27:00
2016-10-08T20:18:00,2016-10-09T08:16:00
2016-10-09T14:49:00,2016-10-10T07:51:00
2016-10-10T21:53:00,2016-10-11T07:53:00
2016-10-11T21:19:00,2016-10-12T03:00:00
2016-10-12T21:28:00,2016-10-13T06:22:00
2016-10-13T20:30:00,2016-10-14T03:36:00
2016-10-14T20:20:00,2016-10-15T02:21:00
2016-10-15T21:27:00,2016-10-16T03:45:00
2016-10-16T22:27:00,2016-10-17T01:49:00
2016-10-17T19:31:00,2016-10-18T02:16:00
2016-10-18T20:16:00,2016-10-19T00:54:00
2016-10-20T00:12:00,2016-10-20T06:27:00
2016-10-20T22:11:00,2016-10-21T06:59:00
2016-10-21T20:04:00,2016-10-22T02:27:00
2016-10-22T21:28:00,2016-10-23T03:57:00
2016-10-23T13:40:00,2016-10-24T00:36:00
2016-10-24T20:19:00,2016-10-25T04:50:00
2016-10-25T19:17:00,2016-10-26T03:39:00
2016-10-26T20:30:00,2016-10-27T06:08:00
2016-10-27T20:03:00,2016-10-28T05:30:00
2016-10-28T20:32:00,2016-10-29T06:25:00
2016-10-29T21:29:00,2016-10-30T03:29:00
2016-10-30T20:59:00,2016-10-31T05:32:00
2016-10-31T21:13:00,2016-11-01T06:12:00
2016-11-01T22:14:00,2016-11-02T07:09:00
2016-11-02T23:17:00,2016-11-03T03:19:00
2016-11-03T20:29:00,2016-11-04T02:43:00
2016-11-04T21:18:00,2016-11-05T03:48:00
2016-11-05T21:15:00,2016-11-06T11:04:00
2016-11-06T21:53:00,2016-11-07T05:42:00
2016-11-07T20:57:00,2016-11-07T23:39:00
2016-11-08T21:43:00,2016-11-09T05:07:00
2016-11-09T21:00:00,2016-11-10T03:31:00
2016-11-10T20:51:00,2016-11-11T03:16:00
2016-11-11T21:09:00,2016-11-12T05:06:00
2016-11-12T20:19:00,2016-11-13T02:20:00
2016-11-13T21:24:00,2016-11-14T02:51:00
2016-11-14T21:23:00,2016-11-15T04:25:00
2016-11-15T19:58:00,2016-11-16T00:58:00
2016-11-16T18:41:00,2016-11-17T01:01:00
2016-11-17T20:19:00,2016-11-18T02:59:00
2016-11-18T19:17:00,2016-11-19T02:16:00
2016-11-19T20:33:00,2016-11-20T01:08:00
2016-11-20T20:04:00,2016-11-21T05:57:00
2016-11-21T19:57:00,2016-11-22T03:09:00
2016-11-22T20:29:00,2016-11-23T04:25:00
2016-11-23T19:34:21,2016-11-24T03:52:19
2016-11-24T21:01:49,2016-11-25T06:43:30
2016-11-25T20:11:47,2016-11-26T05:51:08
2016-11-26T19:34:41,2016-11-27T06:34:19
2016-11-27T20:20:35,2016-11-28T05:38:08
2016-11-28T20:53:07,2016-11-29T06:07:12
2016-11-29T21:34:15,2016-11-30T08:05:01
2016-11-30T19:56:42,2016-12-01T04:21:30
2016-12-01T18:09:07,2016-12-02T06:44:32
2016-12-02T21:10:54,2016-12-03T08:52:46
2016-12-03T20:43:16,2016-12-04T13:52:55
2016-12-04T22:58:20,2016-12-05T06:23:51
2016-12-05T21:35:53,2016-12-06T06:50:02
2016-12-06T21:46:51,2016-12-07T07:18:24
2016-12-07T22:09:38,2016-12-08T12:38:21
2016-12-08T22:38:21,2016-12-09T07:01:56
2016-12-09T23:58:58,2016-12-10T08:24:49
2016-12-10T22:24:05,2016-12-11T04:40:44
2016-12-11T19:57:07,2016-12-12T04:40:33
2016-12-12T21:03:44,2016-12-13T07:23:40
2016-12-13T21:28:10,2016-12-14T05:59:47
2016-12-14T21:08:29,2016-12-15T07:01:19
2016-12-15T13:57:28,2016-12-16T06:32:29
2016-12-16T22:01:14,2016-12-17T09:14:27
2016-12-17T22:28:12,2016-12-18T06:06:46
2016-12-18T23:23:47,2016-12-19T03:59:15
2016-12-19T22:35:29,2016-12-20T08:41:10
2016-12-21T02:11:36,2016-12-21T08:44:57
2016-12-21T22:50:57,2016-12-22T08:27:23
2016-12-22T21:36:56,2016-12-23T02:27:09
2016-12-23T14:47:27,2016-12-24T07:38:35
